date_time,matchday,home_team,home_score,guest_score,guest_team,season
2005-08-13T15:30:00,2,1. FC Kaiserslautern,5,3,MSV Duisburg,2005
2005-08-13T15:30:00,2,1. FC Nürnberg,1,1,Hannover 96,2005
2005-08-13T15:30:00,2,Arminia Bielefeld,0,2,Hamburger SV,2005
2005-08-14T17:30:00,2,VfB Stuttgart,2,3,1. FC Köln,2005
2005-08-14T17:30:00,2,1. FSV Mainz 05,0,2,Werder Bremen,2005
2005-08-27T15:30:00,3,1. FC Köln,2,3,1. FC Kaiserslautern,2005
2005-08-27T15:30:00,3,FC Schalke 04,1,1,Borussia Mönchengladbach,2005
2005-08-27T15:30:00,3,Hamburger SV,1,1,Hannover 96,2005
2005-08-27T15:30:00,3,VfL Wolfsburg,2,1,Bayer Leverkusen,2005
2005-08-27T15:30:00,3,Werder Bremen,1,1,VfB Stuttgart,2005
